stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
100,,"BELL RD & 44TH ST",,  33.640495,-111.985809
1002,,"ALICE AVE & 66TH DR",,  33.563522,-112.201019
10021,,"3RD ST -- TAYLOR ST",,  33.453327,-112.070053
1003,,"ATLANTA AVE & 11TH AVE",,  33.400024,-112.085709
1004,,"BASELINE RD & 19TH AVE",,  33.377666,-112.098022
10040,,"DOBSON RD -- WESTERN CANAL",,  33.355873,-111.876625
10043,,"8TH ST -- MCCLINTOCK",,  33.419590,-111.909195
10044,,"MCCLINTOCK -- 8TH ST",,  33.419426,-111.909172
10048,,"DOBSON RD -- WESTERN CANAL",,  33.356232,-111.876373
1005,,"BASELINE RD & 35TH AVE",,  33.377560,-112.132004
10058,,"NB 95TH AVE FS COYOTES BLVD",,  33.533131,-112.264748
1006,,"BASELINE RD & 7TH AVE",,  33.377640,-112.082535
1007,,"BASELINE RD & TERRY LN",,  33.378147,-111.955551
10078,,"KNOX RD & 40TH ST",,  33.327019,-111.997398
10079,,"KNOX RD & 40TH ST",,  33.326920,-111.997078
1008,,"BASELINE RD & 15TH AVE",,  33.377632,-112.091301
10080,,"KNOX RD & 36TH ST",,  33.326923,-112.005722
10081,,"36TH ST & KNOX RD",,  33.326881,-112.005913
10082,,"SB 95TH AVE FS COYOTES BLVD",,  33.532959,-112.264931
10084,,"50TH ST -- RAY RD",,  33.315567,-111.976776
10085,,"50TH ST -- THISTLE LANDING DR",,  33.315910,-111.976494
10088,,"FRYE RD & 44TH ST",,  33.298019,-111.989098
10089,,"44TH ST & FRYE RD",,  33.298042,-111.988945
1009,,"BASELINE RD & 27TH AVE",,  33.377613,-112.117699
10090,,"FRYE RD & 40TH ST",,  33.297897,-111.997131
10091,,"40TH ST & FRYE RD",,  33.298016,-111.997177
10092,,"40TH ST & WOODLAND DR",,  33.301514,-111.997322
101,,"BELL RD -- 44TH ST & TATUM BLVD",,  33.640293,-111.979805
1010,,"BASELINE RD & 29TH AVE",,  33.377594,-112.121399
10104,,"LIBERTY LN & 12TH WY",,  33.294601,-112.056526
10106,,"LIBERTY LN & 25TH ST",,  33.294178,-112.029785
10107,,"LIBERTY LN & 25TH ST",,  33.294365,-112.029732
10108,,"24TH ST & LIBERTY LN",,  33.296467,-112.032715
1011,,"BASELINE RD & 4TH AVE",,  33.377636,-112.078636
10116,,"LIBERTY LN & DESERT FOOTHILLS PK",,  33.296562,-112.061646
10117,,"DESERT FOOTHILLS PKWY & LIBERTY LN",,  33.297100,-112.061378
10118,,"DESERT FOOTHILLS PKWY & MARKETPL",,  33.302502,-112.057816
10119,,"DESERT FOOTHILLS PKWY & MARKETPLACE WY",,  33.302109,-112.058456
1012,,"BASELINE RD & 48TH ST",,  33.378117,-111.977707
10122,,"51ST ST & ELLIOT RD",,  33.348488,-111.978401
10129,,"GLENDALE AVE & 91ST AVE",,  33.537479,-112.254921
1013,,"BASELINE RD & BECK AVE",,  33.378143,-111.959312
10132,,"5TH ST & PRIEST",,  33.425453,-111.960777
10133,,"53RD AVE -- HAYWARD AVE",,  33.550911,-112.173248
10134,,"55TH AVE -- BUTLER DR",,  33.560360,-112.173401
10135,,"GLENDALE ADULT CENTER",,  33.578777,-112.192406
10136,,"65TH AVE -- OLIVE",,  33.563599,-112.198769
1014,,"BASELINE RD & DOBSON RD",,  33.378452,-111.877029
10159,,"OSBORN RD & 63RD AVE",,  33.487804,-112.195427
1016,,"BASELINE RD & KYRENE RD",,  33.378139,-111.945511
10160,,"OSBORN RD & 63RD AVE",,  33.487572,-112.194733
10161,,"OSBORN RD -- 67TH AVE",,  33.487770,-112.198860
10162,,"OSBORN RD -- 63RD AVE",,  33.487534,-112.198334
10163,,"VIRGINIA AVE -- 67TH AVE",,  33.476830,-112.199692
10164,,"VIRGINIA AVE -- 63RD AVE",,  33.476692,-112.199249
10165,,"63RD AVE -- VIRGINIA AVE",,  33.478008,-112.195198
10166,,"63RD AVE -- THOMAS RD",,  33.478542,-112.194992
10167,,"ENCANTO BLVD -- 91ST AVE",,  33.472549,-112.251152
10168,,"ENCANTO BLVD -- 87TH AVE",,  33.472340,-112.250511
10169,,"ENCANTO BLVD & 83RD AVE",,  33.472382,-112.237495
10170,,"ENCANTO BLVD & 83RD AVE",,  33.472759,-112.238312
10171,,"ENCANTO BLVD & 79TH AVE",,  33.472900,-112.229462
10172,,"ENCANTO BLVD & 79TH AVE",,  33.472569,-112.228867
10173,,"ENCANTO BLVD & 75TH AVE",,  33.472775,-112.220329
10174,,"ENCANTO BLVD & 75TH AVE",,  33.473038,-112.221199
10175,,"ENCANTO BLVD & 71ST AVE",,  33.473076,-112.212189
10176,,"ENCANTO BLVD & 71ST AVE",,  33.472858,-112.211739
10177,,"ENCANTO BLVD & 67TH AVE",,  33.472988,-112.203094
10178,,"ENCANTO BLVD & 67TH AVE",,  33.473244,-112.203560
10179,,"ENCANTO BLVD & 61ST DR",,  33.473087,-112.191605
10180,,"ENCANTO BLVD & 61ST DR",,  33.473373,-112.192070
10181,,"ENCANTO BLVD & 59TH AVE",,  33.473385,-112.186745
10182,,"ENCANTO BLVD & 55TH AVE",,  33.473305,-112.178047
10183,,"ENCANTO BLVD & 55TH AVE",,  33.473057,-112.177589
10184,,"ENCANTO BLVD -- 51ST AVE",,  33.473118,-112.173683
10185,,"ENCANTO BLVD -- 55TH AVE",,  33.473301,-112.174286
10186,,"HOLLY ST & 48TH LN",,  33.471001,-112.166359
10187,,"48TH LN & HOLLY ST",,  33.471222,-112.165092
10188,,"48TH LN & ENCANTO BLVD",,  33.473038,-112.164337
10189,,"48TH LN & ENCANTO BLVD",,  33.473400,-112.164162
10190,,"48TH LN -- ENCANTO BLVD",,  33.476242,-112.164207
10191,,"48TH LN -- THOMAS RD",,  33.476429,-112.163841
10192,,"47th Ave & E Earll Dr",,  33.483883,-112.159698
10193,,"47TH AVE & EARLL DR",,  33.484337,-112.159439
10194,,"OSBORN RD -- 47TH AVE",,  33.487518,-112.164421
10195,,"OSBORN RD -- 51ST AVE",,  33.487648,-112.164680
10196,,"OSBORN RD & 47TH AVE",,  33.487797,-112.160599
10197,,"CAMPBELL AVE & 51ST AVE",,  33.502335,-112.169189
10198,,"CAMPBELL AVE -- 55TH AVE",,  33.502346,-112.172745
10199,,"CAMPBELL AVE -- 51ST AVE",,  33.502041,-112.172325
102,,"BELL RD & 52ND ST",,  33.640293,-111.968208
1020,,"BASELINE RD & PRIEST DR",,  33.378159,-111.962318
10200,,"CAMPBELL AVE & 55TH AVE",,  33.502396,-112.177895
10201,,"CAMPBELL AVE & 55TH AVE",,  33.502148,-112.177353
10202,,"CAMPBELL AVE -- 55TH AVE",,  33.501999,-112.181587
10203,,"CAMPBELL AVE -- 59TH AVE",,  33.502296,-112.182137
10204,,"CAMPBELL AVE & 59TH AVE",,  33.502193,-112.186096
10205,,"CAMPBELL AVE & 59TH AVE",,  33.502312,-112.186623
10206,,"CAMPBELL AVE -- 59TH AVE",,  33.502045,-112.190536
10207,,"CAMPBELL AVE -- 63RD AVE",,  33.502251,-112.190903
10208,,"CAMPBELL AVE & 63RD AVE",,  33.502193,-112.195343
10209,,"CAMPBELL AVE & 63RD AVE",,  33.502079,-112.194923
10210,,"CAMPBELL AVE -- 67TH AVE",,  33.502247,-112.199257
10211,,"CAMPBELL AVE -- 63RD AVE",,  33.501900,-112.198715
10212,,"SELLS DR -- 75TH AVE",,  33.500771,-112.226433
10213,,"SELLS DR -- 79TH DR",,  33.500629,-112.225838
10214,,"79TH DR -- INDIAN SCHOOL RD",,  33.497982,-112.229691
10215,,"79TH DR -- SELLS DR",,  33.497726,-112.229507
10216,,"79TH DR & INDIAN SCHOOL RD",,  33.494064,-112.229698
10217,,"79TH DR & INDIAN SCHOOL RD",,  33.494839,-112.229523
10218,,"79TH DR -- INDIAN SCHOOL RD",,  33.489784,-112.231171
10219,,"79TH DR -- OSBORN RD",,  33.489918,-112.230583
10220,,"OSBORN RD & 83RD AVE",,  33.487160,-112.238213
10221,,"OSBORN RD -- 87TH AVE",,  33.487095,-112.242424
10222,,"OSBORN RD -- 87TH AVE",,  33.486961,-112.241783
10223,,"OSBORN RD & 87TH AVE",,  33.487122,-112.246696
10224,,"OSBORN RD & 87TH AVE",,  33.486938,-112.246262
10225,,"OSBORN RD -- 87TH AVE",,  33.487057,-112.251144
10226,,"OSBORN RD -- 91ST AVE",,  33.486919,-112.250549
1024,,"BELL RD & 41ST AVE",,  33.639191,-112.146309
1025,,"BELL RD & 11TH AVE",,  33.639992,-112.086708
1026,,"BELL RD & 15TH AVE",,  33.639996,-112.091003
1027,,"BELL RD & 17TH AVE",,  33.639996,-112.095009
1028,,"BELL RD & 19TH AVE",,  33.639793,-112.098701
1029,,"BELL RD & 21ST AVE",,  33.639793,-112.102707
103,,"BELL RD & 54TH ST",,  33.640293,-111.964203
1030,,"BELL RD & 23RD AVE",,  33.639828,-112.107498
1031,,"BELL RD & 29TH AVE",,  33.639721,-112.120819
1032,,"BELL RD & 31ST AVE",,  33.639492,-112.124504
